,Name,Link,Graduation Rate,Reading Proficiency,Math Proficiency,AP Pass Rate,AP Enrollment Rate,APs Offered,SAT,SAT Math,SAT English,ACT,ACT Math,ACT Reading,ACT English,ACT Science,Rank,District,City,Rating
72,Santa Monica High School,https://www.niche.com/k12/santa-monica-high-school-santa-monica-ca/,0.97,0.82,0.51,0.7,0.25,16.0,1290.0,640.0,650.0,30.0,28.0,30.0,30.0,29.0,73,Santa Monica-Malibu Unified School District,Santa monica,3.85
73,Mills High School,https://www.niche.com/k12/mills-high-school-millbrae-ca/,0.97,0.82,0.72,0.93,0.37,18.0,1340.0,680.0,650.0,31.0,31.0,31.0,31.0,31.0,74,San Mateo Union High School District,Millbrae,3.81
74,Great Oak High School,https://www.niche.com/k12/great-oak-high-school-temecula-ca/,0.97,0.8,0.53,0.69,0.48,37.0,1220.0,610.0,610.0,27.0,26.0,28.0,27.0,27.0,75,Temecula Valley Unified School District,Temecula,4.13
75,Mira Costa High School,https://www.niche.com/k12/mira-costa-high-school-manhattan-beach-ca/,0.96,0.74,0.6,0.84,0.48,25.0,1330.0,670.0,670.0,31.0,29.0,31.0,31.0,30.0,76,Manhattan Beach Unified School District,Manhattan beach,3.73
76,Crescenta Valley High School,https://www.niche.com/k12/crescenta-valley-high-school-la-crescenta-ca/,0.99,0.81,0.58,0.83,0.42,27.0,1340.0,680.0,660.0,31.0,30.0,31.0,32.0,30.0,77,Glendale Unified School District,La crescenta,3.93
77,Pacific Collegiate Charter School,https://www.niche.com/k12/pacific-collegiate-charter-school-santa-cruz-ca/,0.95,0.79,0.6,0.87,0.17,,1390.0,690.0,700.0,31.0,29.0,32.0,31.0,31.0,78,,Santa cruz,3.63
78,Coronado High School,https://www.niche.com/k12/coronado-high-school-coronado-ca/,0.97,0.82,0.55,0.81,0.49,18.0,1280.0,640.0,640.0,29.0,28.0,30.0,30.0,28.0,79,Coronado Unified School District,Coronado,4.14
79,Sunny Hills High School,https://www.niche.com/k12/sunny-hills-high-school-fullerton-ca/,0.98,0.73,0.54,0.8,0.57,27.0,1330.0,680.0,650.0,31.0,30.0,31.0,31.0,30.0,80,Fullerton Joint Union High School District,Fullerton,3.91
80,Diamond Bar High School,https://www.niche.com/k12/diamond-bar-high-school-diamond-bar-ca/,0.98,0.78,0.7,0.87,0.34,26.0,1360.0,700.0,660.0,31.0,31.0,31.0,32.0,30.0,81,Walnut Valley Unified School District,Diamond bar,3.85
81,Portola High School,https://www.niche.com/k12/portola-high-school-irvine-ca/,0.95,0.85,0.67,0.07,,,1400.0,710.0,690.0,32.0,31.0,33.0,33.0,32.0,82,Irvine Unified School District,Irvine,4.29
82,Palos Verdes High School,https://www.niche.com/k12/palos-verdes-high-school-palos-verdes-estates-ca/,0.98,0.75,0.55,0.72,0.5,32.0,1330.0,670.0,660.0,29.0,28.0,30.0,30.0,29.0,83,Palos Verdes Peninsula Unified School District,Palos verdes estates,3.97
83,Mt. Carmel High School,https://www.niche.com/k12/mt-carmel-high-school-san-diego-ca/,0.98,0.72,0.52,0.65,0.38,21.0,1300.0,650.0,640.0,29.0,28.0,29.0,29.0,28.0,84,Poway Unified School District,San diego,4.14
84,Cambridge Virtual Academy,https://www.niche.com/k12/cambridge-virtual-academy-ca/,1.0,0.72,0.47,,,,,,,,,,,,85,Anaheim Union High School District,7-12,5.0
85,Escondido Charter High School,https://www.niche.com/k12/escondido-charter-high-school-escondido-ca/,0.92,0.71,0.46,,,,1230.0,630.0,610.0,30.0,29.0,31.0,30.0,28.0,86,,Escondido,4.04
86,Yorba Linda High School,https://www.niche.com/k12/yorba-linda-high-school-yorba-linda-ca/,0.98,0.69,0.55,0.98,0.31,22.0,1310.0,660.0,640.0,28.0,28.0,29.0,28.0,27.0,87,Placentia-Yorba Linda Unified School District,Yorba linda,3.97
87,Redondo Union High School,https://www.niche.com/k12/redondo-union-high-school-redondo-beach-ca/,0.97,0.75,0.53,0.77,0.34,22.0,1290.0,650.0,640.0,27.0,26.0,28.0,28.0,27.0,88,Redondo Beach Unified School District,Redondo beach,4.1
88,Monte Vista High School,https://www.niche.com/k12/monte-vista-high-school-danville-ca/,0.98,0.86,0.63,0.92,0.43,32.0,1340.0,680.0,670.0,31.0,30.0,31.0,31.0,30.0,89,San Ramon Valley Unified School District,Danville,3.9
89,Larchmont Charter School,https://www.niche.com/k12/larchmont-charter-school-los-angeles-ca/,0.95,0.69,0.55,,,,1270.0,630.0,640.0,28.0,26.0,31.0,29.0,27.0,90,,Los angeles,4.03
90,Design Science Middle College High School,https://www.niche.com/k12/design-science-middle-college-high-school-fresno-ca/,0.95,0.75,0.55,,,,1140.0,580.0,560.0,20.0,21.0,20.0,19.0,20.0,91,Fresno Unified School District,Fresno,4.24
91,Mission Vista High School,https://www.niche.com/k12/mission-vista-high-school-oceanside-ca/,0.99,0.88,0.49,0.68,0.41,18.0,1240.0,610.0,620.0,27.0,26.0,29.0,27.0,26.0,92,Vista Unified School District,Oceanside,4.15
92,Palisades Charter High School,https://www.niche.com/k12/palisades-charter-high-school-pacific-palisades-ca/,0.94,0.69,0.42,,,,1310.0,650.0,660.0,30.0,28.0,31.0,31.0,29.0,93,,Pacific palisades,3.92
93,Irvine High School,https://www.niche.com/k12/irvine-high-school-irvine-ca/,0.96,0.68,0.61,0.86,0.31,21.0,1370.0,700.0,670.0,31.0,31.0,31.0,31.0,30.0,94,Irvine Unified School District,Irvine,3.84
94,Valencia High School,https://www.niche.com/k12/valencia-high-school-placentia-ca/,0.98,0.7,0.44,0.98,0.35,26.0,1340.0,690.0,650.0,31.0,31.0,31.0,31.0,30.0,95,Placentia-Yorba Linda Unified School District,Placentia,3.94
95,San Dieguito High Academy,https://www.niche.com/k12/san-dieguito-high-academy-encinitas-ca/,0.98,0.7,0.52,0.82,0.46,25.0,1300.0,650.0,650.0,30.0,28.0,30.0,30.0,28.0,96,San Dieguito Union High School District,Encinitas,4.33
96,San Juan Hills High School,https://www.niche.com/k12/san-juan-hills-high-school-san-juan-capistrano-ca/,0.99,0.8,0.48,0.78,0.46,19.0,1260.0,630.0,630.0,29.0,28.0,30.0,30.0,28.0,97,Capistrano Unified School District,San juan capistrano,4.2
97,Rancho Cucamonga High School,https://www.niche.com/k12/rancho-cucamonga-high-school-rancho-cucamonga-ca/,0.96,0.74,0.38,0.72,0.24,17.0,1190.0,600.0,590.0,26.0,25.0,27.0,26.0,25.0,98,Chaffey Joint Union High School District,Rancho cucamonga,4.17
98,Fountain Valley High School,https://www.niche.com/k12/fountain-valley-high-school-fountain-valley-ca/,0.97,0.85,0.63,0.69,0.35,25.0,1310.0,670.0,640.0,28.0,28.0,29.0,28.0,28.0,99,Huntington Beach Union High School District,Fountain valley,4.0
99,Enterprise Alternative School,https://www.niche.com/k12/enterprise-alternative-school-clovis-ca/,0.75,0.49,0.29,,,,,,,,,,,,100,Clovis Unified School District,Clovis,5.0
100,Western Center Academy,https://www.niche.com/k12/western-center-academy-hemet-ca/,0.95,0.83,0.56,0.33,0.65,19.0,1240.0,610.0,630.0,26.0,25.0,27.0,27.0,25.0,101,Hemet Unified School District,Hemet,4.54
101,Da Vinci Communications High School,https://www.niche.com/k12/da-vinci-communications-high-school-el-segundo-ca/,0.92,0.72,0.37,,,,1050.0,510.0,540.0,20.0,19.0,21.0,20.0,20.0,102,,El segundo,4.29
102,Monta Vista High School,https://www.niche.com/k12/monta-vista-high-school-cupertino-ca/,0.97,0.88,0.87,0.96,0.49,19.0,1460.0,750.0,710.0,33.0,33.0,33.0,33.0,33.0,103,Fremont Union High School District,Cupertino,3.42
103,Dougherty Valley High School,https://www.niche.com/k12/dougherty-valley-high-school-san-ramon-ca/,0.98,0.91,0.82,0.91,0.52,30.0,1420.0,720.0,690.0,32.0,31.0,32.0,32.0,31.0,104,San Ramon Valley Unified School District,San ramon,3.77
104,West Campus,https://www.niche.com/k12/west-campus-sacramento-ca/,0.99,0.92,0.52,0.56,0.47,26.0,1210.0,600.0,610.0,26.0,26.0,26.0,27.0,26.0,105,Sacramento City Unified School District,Sacramento,3.83
105,Los Angeles Center for Enriched Studies,https://www.niche.com/k12/los-angeles-center-for-enriched-studies-los-angeles-ca/,0.98,0.69,0.47,0.6,0.69,25.0,1300.0,660.0,650.0,29.0,28.0,29.0,30.0,28.0,106,Los Angeles Unified School District,Los angeles,3.62
106,Clovis North High School,https://www.niche.com/k12/clovis-north-high-school-fresno-ca/,0.95,0.94,0.63,0.8,0.25,19.0,1300.0,650.0,640.0,29.0,29.0,30.0,29.0,29.0,107,Clovis Unified School District,Fresno,4.06
107,Scripps Ranch High School,https://www.niche.com/k12/scripps-ranch-high-school-san-diego-ca/,0.99,0.8,0.7,0.9,0.34,17.0,1330.0,670.0,660.0,30.0,29.0,30.0,30.0,29.0,108,San Diego Unified School District,San diego,3.61
108,The High School at Moorpark College,https://www.niche.com/k12/the-high-school-at-moorpark-college-moorpark-ca/,0.75,0.9,0.75,,,,1310.0,650.0,670.0,28.0,25.0,30.0,29.0,27.0,109,Moorpark Unified School District,Moorpark,4.12
109,Cypress High School,https://www.niche.com/k12/cypress-high-school-cypress-ca/,0.96,0.74,0.48,,,,1270.0,650.0,620.0,28.0,28.0,28.0,28.0,27.0,110,Anaheim Union High School District,Cypress,3.75
110,Middle College High School,https://www.niche.com/k12/middle-college-high-school-san-pablo-ca/,0.95,0.82,0.62,,,,1180.0,580.0,590.0,,,,,,111,West Contra Costa Unified School District,San pablo,3.61
111,Adrian Wilcox High School,https://www.niche.com/k12/adrian-wilcox-high-school-santa-clara-ca/,0.95,0.72,0.43,0.76,0.32,37.0,1290.0,650.0,640.0,28.0,27.0,29.0,28.0,27.0,112,Santa Clara Unified School District,Santa clara,3.83
112,Classical Academy High School,https://www.niche.com/k12/classical-academy-high-school-escondido-ca/,0.96,0.74,0.51,,,,1270.0,630.0,640.0,30.0,29.0,31.0,31.0,28.0,113,,Escondido,4.2
113,Dublin High School,https://www.niche.com/k12/dublin-high-school-dublin-ca/,0.98,0.8,0.67,0.76,0.29,24.0,1370.0,700.0,670.0,30.0,30.0,31.0,30.0,30.0,114,Dublin Unified School District,Dublin,3.82
114,Bravo Medical Magnet High School,https://www.niche.com/k12/bravo-medical-magnet-high-school-los-angeles-ca/,0.97,0.88,0.45,0.67,0.35,17.0,1140.0,570.0,570.0,23.0,23.0,23.0,22.0,22.0,115,Los Angeles Unified School District,Los angeles,3.81
115,Dos Pueblos Senior High School,https://www.niche.com/k12/dos-pueblos-senior-high-school-goleta-ca/,0.95,0.7,0.47,0.66,0.32,19.0,1290.0,650.0,640.0,27.0,26.0,27.0,27.0,26.0,116,Santa Barbara Unified School District,Goleta,3.97
116,Acalanes High School,https://www.niche.com/k12/acalanes-high-school-lafayette-ca/,0.98,0.8,0.67,0.87,0.38,12.0,1350.0,680.0,670.0,31.0,30.0,31.0,31.0,30.0,117,Acalanes Union High School District,Lafayette,3.82
117,Esperanza High School,https://www.niche.com/k12/esperanza-high-school-anaheim-ca/,0.94,0.69,0.47,0.98,0.27,20.0,1270.0,640.0,620.0,28.0,28.0,29.0,29.0,28.0,118,Placentia-Yorba Linda Unified School District,Anaheim,3.85
118,Los Alamitos High School,https://www.niche.com/k12/los-alamitos-high-school-los-alamitos-ca/,0.98,0.82,0.57,0.83,0.33,26.0,1280.0,640.0,640.0,29.0,28.0,29.0,29.0,28.0,119,Los Alamitos Unified School District,Los alamitos,3.95
119,International Polytechnic High School,https://www.niche.com/k12/international-polytechnic-high-school-pomona-ca/,0.95,0.82,0.52,,,,1220.0,600.0,620.0,26.0,25.0,27.0,27.0,25.0,120,,Pomona,3.89
120,"Academy of the Redwoods, Early College High School",https://www.niche.com/k12/academy-of-the-redwoods-early-college-high-school-eureka-ca/,0.9,0.85,0.75,,,,1230.0,600.0,630.0,29.0,29.0,28.0,31.0,28.0,121,Fortuna Union High School District,Eureka,4.34
121,Lemoore Middle College High School,https://www.niche.com/k12/lemoore-middle-college-high-school-lemoore-ca/,0.9,0.85,0.55,0.73,0.38,5.0,1100.0,530.0,570.0,,,,,,122,,Lemoore,4.06
122,Laguna Beach High School,https://www.niche.com/k12/laguna-beach-high-school-laguna-beach-ca/,0.98,0.71,0.51,0.87,0.35,18.0,1310.0,660.0,660.0,30.0,29.0,31.0,31.0,29.0,123,Laguna Beach Unified School District,Laguna beach,3.81
123,Dr. TJ Owens Gilroy Early College Academy,https://www.niche.com/k12/dr-tj-owens-gilroy-early-college-academy-gilroy-ca/,0.95,0.95,0.95,0.63,0.44,3.0,1280.0,640.0,640.0,28.0,28.0,29.0,29.0,27.0,124,Gilroy Unified School District,Gilroy,3.7
124,Temple City High School,https://www.niche.com/k12/temple-city-high-school-temple-city-ca/,0.97,0.77,0.65,0.84,0.28,12.0,1340.0,680.0,650.0,30.0,30.0,30.0,30.0,29.0,125,Temple City Unified School District,Temple city,3.8
125,Rancho Bernardo High School,https://www.niche.com/k12/rancho-bernardo-high-school-san-diego-ca/,0.96,0.88,0.71,0.59,0.36,20.0,1310.0,670.0,650.0,29.0,29.0,30.0,29.0,28.0,126,Poway Unified School District,San diego,3.93
126,Vista Del Lago High School,https://www.niche.com/k12/vista-del-lago-high-school-folsom-ca/,0.99,0.76,0.56,0.7,0.32,20.0,1330.0,670.0,660.0,29.0,28.0,29.0,29.0,28.0,127,Folsom-Cordova Unified School District,Folsom,4.0
127,Hillsdale High School,https://www.niche.com/k12/hillsdale-high-school-san-mateo-ca/,0.94,0.71,0.44,0.91,0.3,15.0,1290.0,650.0,640.0,27.0,27.0,28.0,27.0,27.0,128,San Mateo Union High School District,San mateo,3.85
128,La Jolla High School,https://www.niche.com/k12/la-jolla-high-school-la-jolla-ca/,0.98,0.75,0.59,0.77,0.49,18.0,1320.0,670.0,660.0,29.0,29.0,30.0,30.0,29.0,129,San Diego Unified School District,La jolla,3.65
129,Middle College High School,https://www.niche.com/k12/middle-college-high-school-san-bernardino-ca/,0.95,0.85,0.35,,,,1080.0,540.0,540.0,21.0,21.0,22.0,20.0,21.0,130,San Bernardino City Unified School District,San bernardino,4.09
130,University Preparatory High School,https://www.niche.com/k12/university-preparatory-high-school-visalia-ca/,0.9,0.87,0.67,,,,1250.0,620.0,630.0,28.0,26.0,30.0,28.0,28.0,131,,Visalia,4.04
131,Foothill Technology High School,https://www.niche.com/k12/foothill-technology-high-school-ventura-ca/,0.98,0.82,0.56,0.78,0.35,13.0,1250.0,620.0,630.0,27.0,27.0,28.0,27.0,27.0,132,Ventura Unified School District,Ventura,4.09
132,Albany High School,https://www.niche.com/k12/albany-high-school-albany-ca/,0.95,0.8,0.72,0.69,0.35,17.0,1370.0,690.0,680.0,30.0,29.0,31.0,31.0,30.0,133,Albany City Unified School District,Albany,3.71
133,Folsom High School,https://www.niche.com/k12/folsom-high-school-folsom-ca/,0.98,0.85,0.58,0.61,0.26,32.0,1320.0,670.0,660.0,29.0,28.0,30.0,29.0,28.0,134,Folsom-Cordova Unified School District,Folsom,4.07
134,West High School,https://www.niche.com/k12/west-high-school-torrance-ca/,0.97,0.73,0.49,0.86,0.3,17.0,1330.0,670.0,650.0,30.0,29.0,30.0,30.0,29.0,135,Torrance Unified School District,Torrance,3.68
135,Amphi Academy Online,https://www.niche.com/k12/amphi-academy-online-irvine-ca/,0.97,0.72,0.63,,,,,,,,,,,,136,Irvine Unified School District,K-12,5.0
136,Stockton Unified Early College Academy,https://www.niche.com/k12/stockton-unified-early-college-academy-stockton-ca/,1.0,0.95,0.67,0.36,0.74,8.0,1190.0,590.0,600.0,24.0,23.0,25.0,24.0,22.0,137,Stockton Unified School District,Stockton,4.08
137,Tesoro High School,https://www.niche.com/k12/tesoro-high-school-las-flores-ca/,0.97,0.83,0.55,0.8,0.41,19.0,1310.0,660.0,650.0,30.0,29.0,30.0,30.0,29.0,138,Capistrano Unified School District,Las flores,3.97
138,Connecting Waters Charter - East Bay,https://www.niche.com/k12/connecting-waters-charter-east-bay-union-city-ca/,,0.74,0.59,,,,1390.0,680.0,710.0,,,,,,139,,Union city,4.67
139,Central Coast New Tech High School,https://www.niche.com/k12/central-coast-new-tech-high-school-nipomo-ca/,1.0,0.87,0.47,,,,1140.0,560.0,580.0,27.0,23.0,30.0,28.0,27.0,140,Lucia Mar Unified School District,Nipomo,4.5
140,South High School,https://www.niche.com/k12/south-high-school-torrance-ca/,0.95,0.77,0.56,0.86,0.35,21.0,1310.0,670.0,640.0,29.0,29.0,29.0,29.0,28.0,141,Torrance Unified School District,Torrance,3.79
141,El Segundo High School,https://www.niche.com/k12/el-segundo-high-school-el-segundo-ca/,0.99,0.82,0.56,0.64,0.37,16.0,1250.0,620.0,630.0,27.0,26.0,28.0,28.0,26.0,142,El Segundo Unified School District,El segundo,3.99
142,New West Charter School,https://www.niche.com/k12/new-west-charter-school-los-angeles-ca/,0.95,0.66,0.45,,,,1320.0,650.0,670.0,31.0,29.0,32.0,32.0,30.0,143,,Los angeles,3.95
143,Ruth Asawa San Francisco School of the Arts,https://www.niche.com/k12/ruth-asawa-san-francisco-school-of-the-arts-san-francisco-ca/,0.97,0.87,0.62,0.8,0.3,14.0,1290.0,630.0,670.0,27.0,24.0,29.0,29.0,26.0,144,San Francisco Unified School District,San francisco,3.64
144,University City High School,https://www.niche.com/k12/university-city-high-school-san-diego-ca/,0.98,0.74,0.46,0.64,0.43,17.0,1250.0,630.0,620.0,28.0,27.0,28.0,29.0,26.0,145,San Diego Unified School District,San diego,3.71
145,North Hollywood Senior High School,https://www.niche.com/k12/north-hollywood-senior-high-school-north-hollywood-ca/,0.97,0.74,0.4,0.58,0.38,25.0,1240.0,620.0,630.0,28.0,27.0,28.0,28.0,27.0,146,Los Angeles Unified School District,North hollywood,3.71
146,John F. Kennedy High School,https://www.niche.com/k12/john-f-kennedy-high-school-la-palma-ca/,0.97,0.76,0.39,,,,1230.0,620.0,610.0,27.0,27.0,27.0,27.0,27.0,147,Anaheim Union High School District,La palma,3.73
147,Western Sierra Collegiate Academy,https://www.niche.com/k12/western-sierra-collegiate-academy-rocklin-ca/,0.99,0.71,0.56,0.69,0.71,15.0,1270.0,630.0,640.0,29.0,27.0,31.0,29.0,28.0,148,,Rocklin,3.77
148,Berkeley High School,https://www.niche.com/k12/berkeley-high-school-berkeley-ca/,0.9,0.66,0.44,0.78,0.34,32.0,1320.0,650.0,660.0,29.0,28.0,30.0,30.0,28.0,149,Berkeley Unified School District,Berkeley,3.82
149,Los Osos High School,https://www.niche.com/k12/los-osos-high-school-rancho-cucamonga-ca/,0.95,0.81,0.52,0.73,0.26,16.0,1240.0,630.0,610.0,28.0,28.0,28.0,28.0,27.0,150,Chaffey Joint Union High School District,Rancho cucamonga,3.93
150,Northgate High School,https://www.niche.com/k12/northgate-high-school-walnut-creek-ca/,0.98,0.86,0.59,0.8,0.34,21.0,1330.0,670.0,660.0,29.0,29.0,30.0,30.0,28.0,151,Mt. Diablo Unified School District,Walnut creek,3.59
151,Franklin High School,https://www.niche.com/k12/franklin-high-school-elk-grove-ca/,0.97,0.7,0.53,0.72,0.39,23.0,1220.0,610.0,610.0,27.0,26.0,28.0,28.0,26.0,152,Elk Grove Unified School District,Elk grove,4.0
152,Valley International Preparatory High School,https://www.niche.com/k12/valley-international-preparatory-high-school-northridge-ca/,0.93,0.87,0.35,,,,1310.0,640.0,660.0,,,,,,153,,Northridge,4.85
153,Cerritos High School,https://www.niche.com/k12/cerritos-high-school-cerritos-ca/,0.97,0.81,0.56,0.67,0.4,19.0,1290.0,660.0,630.0,29.0,30.0,29.0,30.0,28.0,154,ABC Unified School District,Cerritos,3.72
154,Corona Del Mar High School,https://www.niche.com/k12/corona-del-mar-high-school-newport-beach-ca/,0.96,0.69,0.53,0.87,0.44,24.0,1330.0,670.0,660.0,30.0,29.0,31.0,31.0,30.0,155,Newport-Mesa Unified School District,Newport beach,3.83
155,Buchanan High School,https://www.niche.com/k12/buchanan-high-school-clovis-ca/,0.97,0.84,0.49,0.62,0.28,19.0,1230.0,610.0,620.0,27.0,25.0,28.0,26.0,26.0,156,Clovis Unified School District,Clovis,3.93
156,River Valley Charter School,https://www.niche.com/k12/river-valley-charter-school-lakeside-ca/,0.75,0.72,0.62,0.03,,,1290.0,630.0,650.0,28.0,27.0,29.0,29.0,28.0,157,,Lakeside,4.21
157,High Tech High Chula Vista,https://www.niche.com/k12/high-tech-high-chula-vista-chula-vista-ca/,0.95,0.67,0.27,,,,1090.0,530.0,550.0,24.0,21.0,26.0,24.0,25.0,158,,Chula vista,4.0
158,Ernest S. McBride Senior High School,https://www.niche.com/k12/ernest-s-mcbride-senior-high-school-long-beach-ca/,0.92,0.72,0.32,0.5,0.66,17.0,1160.0,570.0,590.0,27.0,26.0,28.0,27.0,27.0,159,Long Beach Unified School District,Long beach,4.08
159,Leland High School,https://www.niche.com/k12/leland-high-school-san-jose-ca/,0.98,0.79,0.72,0.88,0.46,22.0,1390.0,710.0,680.0,32.0,32.0,32.0,32.0,31.0,160,San Jose Unified School District,San jose,3.46
160,Foothill High School,https://www.niche.com/k12/foothill-high-school-santa-ana-ca/,0.97,0.77,0.5,0.77,0.29,20.0,1230.0,620.0,610.0,29.0,28.0,30.0,30.0,28.0,161,Tustin Unified School District,Santa ana,4.01
161,Aliso Niguel High School,https://www.niche.com/k12/aliso-niguel-high-school-aliso-viejo-ca/,0.98,0.82,0.58,0.81,0.32,15.0,1320.0,670.0,650.0,29.0,29.0,30.0,30.0,29.0,162,Capistrano Unified School District,Aliso viejo,3.78
162,Eastlake High School,https://www.niche.com/k12/eastlake-high-school-chula-vista-ca/,0.96,0.82,0.48,0.66,0.43,37.0,1220.0,610.0,610.0,27.0,26.0,28.0,27.0,26.0,163,Sweetwater Union High School District,Chula vista,3.84
163,Renaissance Arts Academy,https://www.niche.com/k12/renaissance-arts-academy-los-angeles-ca/,0.9,0.79,0.76,,,,1180.0,570.0,610.0,24.0,22.0,27.0,26.0,22.0,164,,Los angeles,3.88
164,Maria Carrillo High School,https://www.niche.com/k12/maria-carrillo-high-school-santa-rosa-ca/,0.92,0.74,0.54,0.81,0.26,13.0,1320.0,660.0,650.0,30.0,29.0,31.0,30.0,29.0,165,Santa Rosa High School District,Santa rosa,3.77
165,Summit Public School - Shasta Campus,https://www.niche.com/k12/summit-public-school-shasta-campus-daly-city-ca/,0.95,0.82,0.47,,,,1210.0,590.0,610.0,27.0,25.0,28.0,27.0,26.0,166,,Daly city,4.13
166,Gabrielino High School,https://www.niche.com/k12/gabrielino-high-school-san-gabriel-ca/,0.97,0.65,0.48,0.67,0.38,20.0,1290.0,660.0,640.0,29.0,27.0,29.0,29.0,28.0,167,San Gabriel Unified School District,San gabriel,3.71
167,Middle College High School,https://www.niche.com/k12/middle-college-high-school-santa-ana-ca/,0.95,0.95,0.52,,,,1100.0,540.0,560.0,20.0,21.0,20.0,19.0,19.0,168,Santa Ana Unified School District,Santa ana,3.89
168,Santa Susana High School,https://www.niche.com/k12/santa-susana-high-school-simi-valley-ca/,0.99,0.79,0.37,0.91,0.3,18.0,1320.0,660.0,660.0,29.0,28.0,30.0,30.0,29.0,169,Simi Valley Unified School District,Simi valley,4.0
